startingAirport,destinationAirport,cheapestFare,cheapestAirline,
ATL,OAK,463.58,Spirit Airlines,
ATL,LGA,193.99,Frontier Airlines,
ATL,BOS,248.6,Delta,
ATL,DEN,133.98,Frontier Airlines,
ATL,CLT,387.6,American Airlines,
ATL,MIA,178.6,American Airlines,
ATL,DFW,168.59,Spirit Airlines,
ATL,SFO,307.6,Alaska Airlines,
ATL,ORD,149.6,American Airlines,
ATL,LAX,239.6,Frontier Airlines,
ATL,JFK,198.6,JetBlue Airways,
BOS,OAK,549.6,Delta,
BOS,LGA,133.6,JetBlue Airways,
BOS,DEN,313.6,United,
BOS,CLT,268.6,Delta,
BOS,MIA,337.2,American Airlines,
BOS,DFW,252.61,Delta,
BOS,SFO,353.6,American Airlines,
BOS,ATL,248.6,JetBlue Airways,
BOS,ORD,127.6,American Airlines,
BOS,LAX,311.6,American Airlines,
BOS,JFK,268.6,Delta,
CLT,OAK,435.1,Delta,
CLT,LGA,210.1,United,
CLT,BOS,97.1,American Airlines,
CLT,DEN,172.48,Frontier Airlines,
CLT,MIA,210.1,American Airlines,
CLT,DFW,243.1,American Airlines,
CLT,SFO,344.1,American Airlines,
CLT,ATL,336.1,American Airlines,
CLT,ORD,201.1,American Airlines,
CLT,LAX,188.49,Frontier Airlines,
CLT,JFK,210.1,American Airlines,
DEN,OAK,123.98,Frontier Airlines,
DEN,LGA,208.61,JetBlue Airways,
DEN,BOS,313.6,JetBlue Airways,
DEN,CLT,296.61,American Airlines,
DEN,MIA,311.58,Spirit Airlines,
DEN,DFW,192.99,Frontier Airlines,
DEN,SFO,163.98,Frontier Airlines,
DEN,ATL,214.58,Spirit Airlines,
DEN,ORD,244.6,United,
DEN,LAX,153.99,Frontier Airlines,
DEN,JFK,208.61,Delta,
DFW,OAK,348.61,Delta,
DFW,LGA,183.6,American Airlines,
DFW,BOS,252.61,American Airlines,
DFW,DEN,164.39,Frontier Airlines,
DFW,CLT,244.6,American Airlines,
DFW,MIA,284.58,Spirit Airlines,
DFW,SFO,297.6,American Airlines,
DFW,ATL,166.98,Frontier Airlines,
DFW,ORD,244.6,United,
DFW,LAX,264.09,Frontier Airlines,
DFW,JFK,183.6,JetBlue Airways,
DTW,OAK,367.6,Delta,
DTW,LGA,190.59,Spirit Airlines,
DTW,BOS,132.61,United,
DTW,DEN,200.58,Spirit Airlines,
DTW,CLT,190.6,American Airlines,
DTW,MIA,173.6,United,
DTW,DFW,238.58,Spirit Airlines,
DTW,SFO,369.1,American Airlines,
DTW,ATL,165.59,Spirit Airlines,
DTW,ORD,181.6,Delta,
DTW,LAX,278.59,Spirit Airlines,
